<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26221RMFS0,D,03/01/20,000000,111.701,111.701,111.426,111.5,2.822
SU26221RMFS0,D,06/01/20,000000,111.893,111.893,111.37,111.495,2.047
SU26221RMFS0,D,08/01/20,000000,111.495,111.643,111.37,111.374,2.344
SU26221RMFS0,D,09/01/20,000000,111.371,111.995,111.371,111.985,279.365
SU26221RMFS0,D,10/01/20,000000,111.521,113.45,111.521,113.45,886.688
SU26221RMFS0,D,13/01/20,000000,113.5,113.853,113.5,113.791,379.415
SU26221RMFS0,D,14/01/20,000000,113.999,113.999,113.401,113.597,64.311
SU26221RMFS0,D,15/01/20,000000,113.816,113.816,112.995,113.495,91.575
SU26221RMFS0,D,16/01/20,000000,113.151,113.648,113.151,113.36,237.091
SU26221RMFS0,D,17/01/20,000000,113.362,113.759,112.9,113.676,285.168
SU26221RMFS0,D,20/01/20,000000,113.792,113.792,113.503,113.532,9.552
SU26221RMFS0,D,21/01/20,000000,113.531,113.63,113.42,113.63,81.581
SU26221RMFS0,D,22/01/20,000000,113.625,113.65,113.165,113.255,306.735
SU26221RMFS0,D,23/01/20,000000,113.597,113.597,113.251,113.324,67.635
SU26221RMFS0,D,24/01/20,000000,113.677,113.679,113.306,113.307,436.533
SU26221RMFS0,D,27/01/20,000000,113.579,113.579,112.502,112.502,813.291
SU26221RMFS0,D,28/01/20,000000,112.68,113.217,112.44,112.9,699.016
SU26221RMFS0,D,29/01/20,000000,113.209,113.209,112.745,112.831,12.869
SU26221RMFS0,D,30/01/20,000000,112.831,112.994,112.505,112.704,105.035
SU26221RMFS0,D,31/01/20,000000,112.44,113.071,112.44,112.561,1.177.749
SU26221RMFS0,D,03/02/20,000000,112.564,112.859,112.44,112.493,208.110
SU26221RMFS0,D,04/02/20,000000,112.359,113.073,111.02,113.05,202.708
SU26221RMFS0,D,05/02/20,000000,112.854,113.457,112.854,113.18,165.234
SU26221RMFS0,D,06/02/20,000000,113.18,113.418,112.953,113.2,7.276
SU26221RMFS0,D,07/02/20,000000,113.198,113.75,112.77,113.743,125.546
SU26221RMFS0,D,10/02/20,000000,113.743,113.793,113.403,113.6,979.115
SU26221RMFS0,D,11/02/20,000000,113.5,113.799,113.251,113.799,736.122
SU26221RMFS0,D,12/02/20,000000,113.808,113.999,113.7,113.998,2.079
SU26221RMFS0,D,13/02/20,000000,113.999,114.197,113.8,114.197,315.279
SU26221RMFS0,D,14/02/20,000000,113.923,114.397,113.922,114.298,831.038
SU26221RMFS0,D,17/02/20,000000,114.881,114.881,114.201,114.251,6.847
SU26221RMFS0,D,18/02/20,000000,114.497,114.497,114.002,114.495,740.307
SU26221RMFS0,D,19/02/20,000000,114.57,114.9,114.451,114.75,1.107.522
SU26221RMFS0,D,20/02/20,000000,114.89,115.249,114.652,115.033,206.533
SU26221RMFS0,D,21/02/20,000000,114.747,115.191,114.668,114.797,283.877
SU26221RMFS0,D,25/02/20,000000,114.308,114.779,114.001,114.001,349.540
SU26221RMFS0,D,26/02/20,000000,114.1,114.699,110.38,113.865,449.585
SU26221RMFS0,D,27/02/20,000000,113.34,113.716,112,112.499,228.632
SU26221RMFS0,D,28/02/20,000000,112.227,112.227,108.377,110.325,2.639.845
SU26221RMFS0,D,02/03/20,000000,111.099,113.659,108.335,110.729,1.328.256
SU26221RMFS0,D,03/03/20,000000,112,112.6,110.95,112.505,1.093.782
SU26221RMFS0,D,04/03/20,000000,113.499,114.44,112.506,114.251,1.490.620
SU26221RMFS0,D,05/03/20,000000,114.25,114.85,112.8,112.8,1.099.162
SU26221RMFS0,D,06/03/20,000000,112.702,114.555,109.61,110.374,685.859
SU26221RMFS0,D,10/03/20,000000,107.95,108.993,104,105.1,90.356
SU26221RMFS0,D,11/03/20,000000,105.111,106.78,103,103.934,632.500
SU26221RMFS0,D,12/03/20,000000,103.565,103.565,97.301,98.198,1.995.143
SU26221RMFS0,D,13/03/20,000000,98.986,100.059,98.303,98.899,1.251.309
SU26221RMFS0,D,16/03/20,000000,98.899,99.699,96.75,97.599,423.720
SU26221RMFS0,D,17/03/20,000000,98.759,99.499,97,97.4,600.803
SU26221RMFS0,D,18/03/20,000000,97.01,97.2,94.186,94.38,707.565
SU26221RMFS0,D,19/03/20,000000,94.329,97.21,94.2,96.897,1.225.609
SU26221RMFS0,D,20/03/20,000000,97.31,100.729,97.31,100.468,1.732.675
SU26221RMFS0,D,23/03/20,000000,100,101.496,98.561,100.951,858.100
SU26221RMFS0,D,24/03/20,000000,101.499,105.569,101.2,105,2.209.781
SU26221RMFS0,D,25/03/20,000000,105.532,106.089,102.6,104.551,1.069.196
SU26221RMFS0,D,26/03/20,000000,103.921,105.85,103.92,105.8,2.867.973
SU26221RMFS0,D,27/03/20,000000,105.601,107,105.5,106.27,840.705
SU26221RMFS0,D,30/03/20,000000,105.092,107.2,105.091,106.755,266.991
SU26221RMFS0,D,31/03/20,000000,106.33,108.888,106.33,108.497,210.067
SU26221RMFS0,D,01/04/20,000000,108.5,108.769,107.201,108.029,21.532
