<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26218RMFS6,D,03/01/20,000000,118.039,118.49,118.039,118.49,2.131
SU26218RMFS6,D,06/01/20,000000,118.469,118.47,118.031,118.35,5.549
SU26218RMFS6,D,08/01/20,000000,117.722,118.467,117.722,118.1,13.081
SU26218RMFS6,D,09/01/20,000000,118.337,118.378,117.921,118.329,20.464
SU26218RMFS6,D,10/01/20,000000,118.003,119.766,118,119.766,57.992
SU26218RMFS6,D,13/01/20,000000,118.44,119.999,118.44,119.999,8.774
SU26218RMFS6,D,14/01/20,000000,119.999,119.999,119.65,119.8,40.200
SU26218RMFS6,D,15/01/20,000000,119.472,119.909,119.1,119.365,102.098
SU26218RMFS6,D,16/01/20,000000,119.179,119.809,119.177,119.402,5.761
SU26218RMFS6,D,17/01/20,000000,118.71,119.9,118.709,119.887,27.897
SU26218RMFS6,D,20/01/20,000000,119.886,119.899,119.7,119.79,20.537
SU26218RMFS6,D,21/01/20,000000,119.76,119.874,119.399,119.67,15.224
SU26218RMFS6,D,22/01/20,000000,119.567,119.75,119.298,119.528,16.032
SU26218RMFS6,D,23/01/20,000000,119.526,119.745,119.477,119.635,322.361
SU26218RMFS6,D,24/01/20,000000,119.67,119.699,119.33,119.502,15.097
SU26218RMFS6,D,27/01/20,000000,119.995,119.995,118.552,118.8,18.324
SU26218RMFS6,D,28/01/20,000000,118.563,119.148,118.374,119.147,211.585
SU26218RMFS6,D,29/01/20,000000,119.147,119.248,118.756,119.198,651.087
SU26218RMFS6,D,30/01/20,000000,119.389,119.389,118.702,118.95,12.854
SU26218RMFS6,D,31/01/20,000000,118.832,119.3,118.791,118.8,174.816
SU26218RMFS6,D,03/02/20,000000,118.8,118.95,118.421,118.839,12.397
SU26218RMFS6,D,04/02/20,000000,118.65,119.19,118.64,119.16,925.809
SU26218RMFS6,D,05/02/20,000000,118.941,119.539,118.941,119.497,12.094
SU26218RMFS6,D,06/02/20,000000,119.675,119.748,119.067,119.152,88.475
SU26218RMFS6,D,07/02/20,000000,119.537,119.899,119,119.75,117.042
SU26218RMFS6,D,10/02/20,000000,119.85,119.899,119.398,119.865,86.259
SU26218RMFS6,D,11/02/20,000000,119.636,119.989,119.6,119.949,67.891
SU26218RMFS6,D,12/02/20,000000,119.949,120.249,119.9,120.249,64.335
SU26218RMFS6,D,13/02/20,000000,120.648,120.648,120.25,120.573,7.580
SU26218RMFS6,D,14/02/20,000000,120.577,120.8,120.203,120.55,26.268
SU26218RMFS6,D,17/02/20,000000,120.79,120.791,120.381,120.55,5.380
SU26218RMFS6,D,18/02/20,000000,120.894,120.895,120.3,120.463,183.160
SU26218RMFS6,D,19/02/20,000000,120.777,121.039,120.412,120.996,376.453
SU26218RMFS6,D,20/02/20,000000,121.002,121.598,120.803,121.477,132.518
SU26218RMFS6,D,21/02/20,000000,121.479,121.482,121.062,121.217,12.321
SU26218RMFS6,D,25/02/20,000000,121.777,121.816,120.303,120.399,12.053
SU26218RMFS6,D,26/02/20,000000,120.397,120.49,119.501,120.378,56.883
SU26218RMFS6,D,27/02/20,000000,120.025,120.03,118.32,118.726,75.407
SU26218RMFS6,D,28/02/20,000000,118.999,119.41,115.003,116.5,358.703
SU26218RMFS6,D,02/03/20,000000,116.151,117.999,116.1,117,59.226
SU26218RMFS6,D,03/03/20,000000,117.001,118.852,117.001,118.8,115.882
SU26218RMFS6,D,04/03/20,000000,118.4,121.177,118.4,120.4,238.095
SU26218RMFS6,D,05/03/20,000000,120.962,120.965,119.002,119.023,240.153
SU26218RMFS6,D,06/03/20,000000,117.101,118.815,116.27,116.697,34.482
SU26218RMFS6,D,10/03/20,000000,114.007,114.99,111.007,112.205,294.130
SU26218RMFS6,D,11/03/20,000000,112.13,114.941,110.1,110.45,122.553
SU26218RMFS6,D,12/03/20,000000,110.007,110.44,104.16,104.8,287.797
SU26218RMFS6,D,13/03/20,000000,104.8,106.899,104.8,106.456,296.971
SU26218RMFS6,D,16/03/20,000000,106.002,106.794,103.62,104.988,260.348
SU26218RMFS6,D,17/03/20,000000,105.35,106.201,103.688,105,180.589
SU26218RMFS6,D,18/03/20,000000,104.5,104.5,101.5,101.503,213.456
SU26218RMFS6,D,19/03/20,000000,101.504,106.261,101.503,103.775,178.023
SU26218RMFS6,D,20/03/20,000000,103.65,107.698,103.65,107,115.710
SU26218RMFS6,D,23/03/20,000000,105.322,107.989,105.001,107.5,467.236
SU26218RMFS6,D,24/03/20,000000,108.78,111.778,107.401,111.475,39.197
SU26218RMFS6,D,25/03/20,000000,115,115.2,109.41,110.979,89.439
SU26218RMFS6,D,26/03/20,000000,111.4,112,109.806,111.999,146.091
SU26218RMFS6,D,27/03/20,000000,111.69,113.331,111.162,112.389,687.043
SU26218RMFS6,D,30/03/20,000000,112.049,112.99,110.56,112.978,50.091
SU26218RMFS6,D,31/03/20,000000,112.141,114.698,112.137,114.45,176.561
SU26218RMFS6,D,01/04/20,000000,113.293,114.3,113.291,114.02,15.570
SU26218RMFS6,D,02/04/20,000000,114.51,114.899,112.506,113.849,161.038
SU26218RMFS6,D,03/04/20,000000,113.581,114.4,113.122,114.245,34.972
SU26218RMFS6,D,06/04/20,000000,114.491,114.497,113.57,114.45,29.391
SU26218RMFS6,D,07/04/20,000000,114.998,115.049,114.211,114.499,59.669
SU26218RMFS6,D,08/04/20,000000,114.837,114.837,114.1,114.447,219.211
SU26218RMFS6,D,09/04/20,000000,114.79,114.999,114.52,114.811,191.456
SU26218RMFS6,D,10/04/20,000000,115.049,115.249,114.701,115.248,8.287
