<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26224RMFS4,D,03/01/20,000000,105.21,105.51,105.104,105.311,1.419
SU26224RMFS4,D,06/01/20,000000,105.509,105.509,105,105.35,1.919
SU26224RMFS4,D,08/01/20,000000,105.001,105.4,105.001,105.011,987
SU26224RMFS4,D,09/01/20,000000,104.999,105.388,104.952,105.292,57.575
SU26224RMFS4,D,10/01/20,000000,106.488,106.488,105.401,106.199,49.983
SU26224RMFS4,D,13/01/20,000000,105.522,106.55,105.521,106.203,78.312
SU26224RMFS4,D,14/01/20,000000,106.042,106.454,106.041,106.293,358.473
SU26224RMFS4,D,15/01/20,000000,106.428,106.43,105.598,105.85,7.153
SU26224RMFS4,D,16/01/20,000000,106.217,106.376,105.844,106.105,2.518
SU26224RMFS4,D,17/01/20,000000,106.104,106.495,106.104,106.26,328.860
SU26224RMFS4,D,20/01/20,000000,106.499,106.5,106.208,106.3,1.242
SU26224RMFS4,D,21/01/20,000000,106.302,106.32,106,106.244,4.139
SU26224RMFS4,D,22/01/20,000000,106.108,106.416,106,106.224,159.972
SU26224RMFS4,D,23/01/20,000000,106.515,106.515,106.049,106.25,53.323
SU26224RMFS4,D,24/01/20,000000,106.409,106.409,106.103,106.129,12.249
SU26224RMFS4,D,27/01/20,000000,106.267,106.267,105.665,105.7,219.749
SU26224RMFS4,D,28/01/20,000000,105.929,105.999,105.29,105.9,380.703
SU26224RMFS4,D,29/01/20,000000,105.301,106.12,105.301,106.085,203.076
SU26224RMFS4,D,30/01/20,000000,105.761,105.994,105.619,105.98,2.842
SU26224RMFS4,D,31/01/20,000000,105.628,106.228,105.612,105.845,29.619
SU26224RMFS4,D,03/02/20,000000,105.62,105.909,105.501,105.749,2.352
SU26224RMFS4,D,04/02/20,000000,105.51,105.999,105.502,105.999,52.312
SU26224RMFS4,D,05/02/20,000000,105.652,106.211,105.652,106.1,6.260
SU26224RMFS4,D,06/02/20,000000,105.704,106.249,105.704,106.054,60.409
SU26224RMFS4,D,07/02/20,000000,106.206,106.5,106.05,106.35,58.784
SU26224RMFS4,D,10/02/20,000000,106.497,106.659,106.323,106.548,4.243
SU26224RMFS4,D,11/02/20,000000,106.5,106.619,106.102,106.398,11.724
SU26224RMFS4,D,12/02/20,000000,106.399,107.039,106.399,107.039,16.573
SU26224RMFS4,D,13/02/20,000000,107.199,107.199,106.601,107.194,4.419
SU26224RMFS4,D,14/02/20,000000,107.172,107.649,106.982,107.5,6.343
SU26224RMFS4,D,17/02/20,000000,107.321,107.767,107.321,107.556,2.423
SU26224RMFS4,D,18/02/20,000000,107.789,107.79,107.221,107.633,246.066
SU26224RMFS4,D,19/02/20,000000,107.019,107.949,107.019,107.9,191.920
SU26224RMFS4,D,20/02/20,000000,107.771,108.3,107.771,108,235.124
SU26224RMFS4,D,21/02/20,000000,108,108.148,107.732,108.03,17.186
SU26224RMFS4,D,25/02/20,000000,108.032,108.032,107.002,107.002,204.220
SU26224RMFS4,D,26/02/20,000000,107.001,107.207,106.65,107.2,406.159
SU26224RMFS4,D,27/02/20,000000,106.546,106.8,103.465,105.9,596.290
SU26224RMFS4,D,28/02/20,000000,105.849,105.85,102.979,104.688,2.222.948
SU26224RMFS4,D,02/03/20,000000,104.86,106,104.103,104.527,87.295
SU26224RMFS4,D,03/03/20,000000,103.402,106.539,103.402,106.537,1.171.605
SU26224RMFS4,D,04/03/20,000000,106.6,107.744,106,107.5,645.044
SU26224RMFS4,D,05/03/20,000000,107.478,107.951,106.506,106.998,578.678
SU26224RMFS4,D,06/03/20,000000,107,107,103.85,104.4,10.167
SU26224RMFS4,D,10/03/20,000000,101.001,102.5,99.75,100.46,447.308
